URL,Label,Score
https://www.ibm.com/cloud/blog/cloud-at-the-edge,/technology and computing,0.869217
https://www.ibm.com/cloud/blog/cloud-at-the-edge,/technology and computing/internet technology,0.823215
https://www.ibm.com/cloud/blog/cloud-at-the-edge,/technology and computing/networking/network monitoring and management,0.80841
https://www.ibm.com/cloud/blog/rounding-out-the-edges,/technology and computing/hardware,0.834985
https://www.ibm.com/cloud/blog/rounding-out-the-edges,/technology and computing/operating systems,0.786255
https://www.ibm.com/cloud/blog/rounding-out-the-edges,/technology and computing/networking/network monitoring and management,0.783145
https://www.ibm.com/cloud/blog/architecting-at-the-edge,/technology and computing/hardware,0.960884
https://www.ibm.com/cloud/blog/architecting-at-the-edge,/technology and computing/operating systems,0.953606
https://www.ibm.com/cloud/blog/architecting-at-the-edge,/technology and computing/hardware/computer,0.939843
https://www.ibm.com/cloud/blog/devops-at-the-edge,/technology and computing/hardware,0.99188
https://www.ibm.com/cloud/blog/devops-at-the-edge,/technology and computing/operating systems,0.984458
https://www.ibm.com/cloud/blog/devops-at-the-edge,/technology and computing/hardware/computer,0.920949
https://www.ibm.com/cloud/blog/policies-at-the-edge,/technology and computing/hardware,0.987811
https://www.ibm.com/cloud/blog/policies-at-the-edge,/technology and computing/operating systems,0.971352
https://www.ibm.com/cloud/blog/policies-at-the-edge,/technology and computing/hardware/computer peripherals,0.950761
https://www.ibm.com/cloud/blog/security-at-the-edge,/technology and computing/computer security/network security,0.95694
https://www.ibm.com/cloud/blog/security-at-the-edge,/technology and computing/operating systems,0.91259
https://www.ibm.com/cloud/blog/security-at-the-edge,/technology and computing/networking/network monitoring and management,0.848695
https://www.ibm.com/cloud/blog/analytics-at-the-edge,/technology and computing,0.824822
https://www.ibm.com/cloud/blog/analytics-at-the-edge,/technology and computing/hardware/computer components,0.821715
https://www.ibm.com/cloud/blog/analytics-at-the-edge,/technology and computing/hardware/computer,0.792951
https://www.ibm.com/cloud/blog/5g-at-the-edge,/technology and computing/networking/network monitoring and management,0.973927
https://www.ibm.com/cloud/blog/5g-at-the-edge,/technology and computing/hardware/computer networking/wireless technology,0.952431
https://www.ibm.com/cloud/blog/5g-at-the-edge,/technology and computing/internet technology,0.922361
https://www.ibm.com/cloud/blog/clusters-at-the-edge,/technology and computing/operating systems,0.958588
https://www.ibm.com/cloud/blog/clusters-at-the-edge,/technology and computing/networking/network monitoring and management,0.924974
https://www.ibm.com/cloud/blog/clusters-at-the-edge,/technology and computing/hardware,0.918511
https://www.ibm.com/cloud/blog/automation-at-the-edge,/technology and computing/networking/network monitoring and management,0.95902
https://www.ibm.com/cloud/blog/automation-at-the-edge,/technology and computing/hardware/computer components,0.914718
https://www.ibm.com/cloud/blog/automation-at-the-edge,/business and industrial/automation,0.89458
